Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Cedar City,Utah,55839,906,$56066,31%,27,$410071,1753,$234,26,62%,$923,47%,276,1622,16%,4%,63%,13%,64%,1%,0%,83%,10%,3%,N/A,88,41,47,60,19,35%,21%,24,34,85,73%,80%,67%,15,3.33,4.05,18%,16%,20%,15,3,N/A,34,91,5,37.70858433753397,-113.06809018205595
Waycross,Georgia,55728,963,$35069,17%,37,$198534,1777,$112,48,55%,$677,61%,288,4868,28%,4%,47%,24%,73%,1%,42%,50%,5%,1%,N/A,93,63,30,71,38,55%,58%,58,70,107,63%,64%,58%,42,15.29,9.73,26%,37%,25%,0,0,6,67,48,5,31.2437411145226,-82.32236488628003
Oxford,Mississippi,55727,1429,$51376,57%,27,$350000,1675,$209,20,37%,$1015,68%,N/A,N/A,25%,2%,56%,40%,55%,2%,23%,68%,2%,4%,N/A,91,53,38,71,31,57%,56%,50,68,100,63%,74%,52%,59,13.11,16.51,33%,30%,39%,0,0,6,53,56,4,34.357617955556655,-89.50950314988397
Jasper,Indiana,55694,9221,$54740,22%,40,$215083,1662,$132,46,73%,$702,50%,303,1390,13%,2%,62%,25%,67%,0%,1%,86%,9%,5%,N/A,89,41,47,66,23,58%,56%,45,65,96,58%,72%,46%,54,13.67,11.42,34%,32%,37%,10,3,6,42,69,4,38.36835593289424,-86.9867553427413
Edwards,Colorado,55693,904,$90315,49%,38,$1450397,2087,$708,27,66%,$1663,45%,103,977,9%,3%,75%,55%,35%,1%,0%,64%,30%,15%,N/A,83,31,51,51,9,39%,28%,29,43,80,69%,75%,64%,21,4.47,5.53,33%,24%,41%,190,74,7,36,93,5,39.58709637491105,-106.73646064941784
Durango,Colorado,55673,1402,$68855,51%,36,$629874,1442,$442,35,60%,$1308,54%,349,2873,10%,3%,67%,49%,40%,0%,0%,75%,12%,1%,N/A,81,35,45,51,11,40%,34%,27,43,80,69%,78%,60%,18,4.66,5.25,26%,32%,27%,117,36,7,33,85,6,37.252174891263806,-107.82814586762494
Kinston,North Carolina,55344,1071,$36609,13%,44,$138520,1399,$99,51,45%,$697,65%,N/A,N/A,27%,13%,52%,47%,50%,0%,61%,29%,4%,3%,N/A,90,56,34,70,34,53%,56%,47,66,99,59%,61%,55%,53,17.58,10.63,26%,31%,26%,1,0,6,42,63,4,35.28126031126724,-77.60236409616205
Sonora,California,55243,788,$63683,26%,49,$423890,1708,$246,41,73%,$1107,48%,534,5527,8%,6%,52%,35%,56%,1%,0%,83%,10%,5%,N/A,93,55,37,57,32,45%,28%,46,51,91,76%,95%,50%,30,0.26,14.9,16%,1%,30%,0,0,7,3,73,5,37.986270225824896,-120.30721344728515
Tiffin,Ohio,55166,747,$56625,11%,38,$230451,1608,$133,64,70%,$707,53%,96,3101,12%,3%,63%,30%,61%,0%,0%,92%,5%,1%,N/A,85,34,51,63,19,63%,58%,39,59,89,46%,59%,34%,41,11.95,8.22,36%,33%,39%,32,24,7,33,79,3,41.124852680752454,-83.17030977262034
Batesville,Arkansas,55039,875,$47112,19%,37,$185000,1667,$111,38,64%,$683,53%,266,2406,20%,4%,55%,21%,73%,0%,4%,76%,14%,5%,N/A,90,47,42,69,27,57%,56%,50,68,99,68%,81%,56%,55,12.17,13.0,29%,27%,27%,3,0,7,55,58,4,35.75879097276969,-91.60003812756257
Point Pleasant,West Virginia,55036,1373,$39946,11%,41,N/A,N/A,N/A,55,68%,$579,45%,N/A,N/A,22%,3%,46%,20%,74%,0%,0%,98%,0%,0%,N/A,85,41,44,65,23,56%,57%,44,63,90,45%,54%,35%,47,13.36,10.98,34%,32%,37%,14,10,5,42,66,4,38.89214494011824,-82.0788476762307
Elko,Nevada,55023,672,$83156,16%,34,$354348,1798,$196,31,69%,$1150,45%,367,2442,12%,4%,68%,18%,73%,1%,1%,64%,25%,6%,N/A,90,36,53,51,13,36%,20%,26,35,86,68%,80%,57%,12,1.54,3.86,21%,11%,28%,40,28,5,20,87,4,40.83658296873308,-115.53658866428601
Danville,Kentucky,54783,957,$43146,21%,37,$220317,1863,$117,45,59%,$700,57%,113,1285,18%,7%,53%,30%,65%,1%,9%,81%,4%,2%,N/A,86,43,43,66,23,56%,56%,44,64,92,55%,65%,46%,51,13.25,12.66,41%,40%,46%,16,11,7,45,68,4,37.606222185225405,-84.75937105254707
Glasgow,Kentucky,54552,828,$38135,18%,41,$184778,1881,$100,45,46%,$714,53%,152,2637,28%,9%,50%,22%,73%,1%,6%,84%,5%,3%,N/A,86,44,42,68,26,56%,55%,45,65,91,55%,65%,46%,55,14.08,14.1,33%,32%,36%,6,2,7,45,68,4,37.02373322104859,-85.90297369475226
St. Marys,Georgia,54256,626,$61042,21%,32,$307537,1761,$174,25,52%,$1048,48%,N/A,N/A,17%,5%,63%,31%,64%,2%,19%,66%,8%,4%,N/A,89,62,27,72,41,56%,59%,59,71,99,64%,65%,59%,53,21.08,9.35,28%,38%,26%,0,0,6,68,57,5,30.793380539482104,-81.67266333951679
Boone,North Carolina,54077,2494,$29189,46%,24,$433341,1607,$269,35,31%,$932,80%,130,1312,49%,14%,54%,47%,45%,1%,2%,88%,5%,3%,N/A,78,40,37,57,22,55%,59%,45,63,80,59%,59%,57%,62,16.29,13.34,42%,45%,43%,25,12,6,40,78,4,36.21120528753826,-81.68224144490723
Warrensburg,Missouri,53889,1640,$52519,34%,26,$297699,2236,$138,32,43%,$816,58%,293,3014,16%,5%,68%,27%,64%,2%,4%,81%,5%,3%,N/A,89,40,48,67,18,60%,59%,42,64,98,62%,70%,55%,43,14.72,5.29,25%,26%,18%,17,8,8,51,62,4,38.7481633835952,-93.71272959588394
Gloversville,New York,53588,1638,$47768,15%,40,$208770,1884,$108,75,52%,$772,56%,300,2194,19%,6%,58%,30%,63%,1%,1%,86%,5%,1%,N/A,77,25,52,57,8,57%,55%,37,58,77,50%,58%,45%,52,15.01,12.02,46%,45%,49%,64,34,7,22,77,3,43.06387303349312,-74.38512983971032
Fort Leonard Wood,Missouri,53460,694,$57952,32%,25,$228716,2131,$108,33,20%,$1013,57%,452,4091,15%,5%,78%,21%,72%,4%,14%,57%,16%,8%,N/A,88,43,45,66,21,58%,57%,43,64,95,57%,68%,49%,48,13.94,8.33,22%,23%,16%,15,15,N/A,54,63,4,37.796143172675905,-92.15325764077825
Poplar Bluff,Missouri,53346,1247,$35966,10%,37,$116000,1547,$75,45,50%,$656,61%,N/A,N/A,27%,7%,49%,17%,79%,0%,9%,80%,2%,0%,N/A,89,44,45,70,26,57%,56%,50,68,98,63%,76%,53%,57,12.7,12.36,29%,28%,28%,6,1,6,53,57,4,36.75146216133748,-90.40534443999346
Elizabeth City,North Carolina,53242,1456,$45238,26%,33,$222326,1474,$151,46,42%,$949,57%,510,4373,21%,7%,59%,47%,49%,1%,48%,39%,7%,2%,N/A,89,53,35,72,32,57%,59%,48,66,97,61%,65%,57%,53,16.67,10.93,31%,31%,34%,7,1,7,34,71,4,36.29624746013158,-76.24418082020469
Payson,Arizona,53211,634,$53122,18%,49,$391414,1690,$236,36,73%,$876,48%,862,3366,19%,8%,47%,31%,63%,0%,0%,61%,19%,2%,N/A,94,54,39,63,29,24%,21%,37,48,91,83%,87%,79%,17,5.61,6.06,16%,23%,18%,4,1,6,30,81,6,33.85576427550447,-111.00890237576508
Athens,Tennessee,53065,909,$43292,19%,40,$233859,1623,$144,45,59%,$738,54%,730,5012,19%,8%,56%,18%,78%,1%,6%,82%,5%,5%,N/A,89,49,39,68,28,55%,56%,48,66,95,55%,60%,45%,62,15.38,16.89,37%,39%,43%,2,0,5,53,56,4,35.429716616563105,-84.58865063057128
Enterprise,Alabama,53043,796,$60705,25%,38,$231319,1800,$127,36,56%,$867,48%,N/A,N/A,16%,6%,57%,20%,76%,1%,23%,62%,8%,4%,N/A,92,61,31,71,37,55%,56%,53,69,103,58%,62%,50%,62,17.55,19.22,29%,42%,31%,0,0,5,57,51,5,31.33605594936784,-85.88021339487447
Ashland,Ohio,52658,1034,$52239,23%,36,$245755,2579,$131,61,63%,$732,52%,143,1775,13%,3%,62%,23%,70%,0%,1%,92%,2%,1%,N/A,82,34,47,62,18,63%,58%,39,59,84,46%,62%,31%,43,12.81,9.18,41%,36%,46%,46,31,7,38,69,3,40.82907525799076,-82.2809138743065
Scottsboro,Alabama,52548,304,$42961,18%,42,$188773,1868,$105,43,72%,$607,51%,N/A,N/A,18%,4%,49%,17%,79%,0%,5%,87%,3%,1%,N/A,89,50,38,67,29,56%,56%,48,67,96,55%,60%,46%,60,14.26,18.46,33%,34%,39%,6,1,6,55,62,4,34.705460315403116,-85.99996632739467
Milledgeville,Georgia,52528,852,$34471,22%,29,$243185,1862,$150,41,36%,$707,72%,578,827,38%,8%,45%,51%,45%,2%,48%,43%,2%,2%,N/A,92,59,33,71,35,52%,54%,53,69,101,63%,67%,56%,48,13.5,14.48,28%,33%,32%,1,0,5,53,49,5,33.09935065259657,-83.21715138942871
Kerrville,Texas,52411,1113,$52999,28%,39,$412961,1824,$226,38,51%,$941,51%,197,1275,13%,2%,56%,20%,76%,0%,1%,65%,30%,4%,N/A,94,59,35,70,33,55%,53%,55,69,103,57%,69%,51%,28,6.15,4.56,21%,15%,21%,0,0,8,36,70,5,30.042616571204366,-99.13986086309959
Bartlesville,Oklahoma,52382,1046,$41716,14%,44,$112952,1370,$80,58,72%,$771,52%,119,1538,18%,2%,52%,22%,71%,0%,0%,69%,6%,2%,N/A,93,48,44,69,21,56%,55%,47,67,103,59%,70%,53%,41,13.13,5.2,25%,27%,19%,9,3,7,47,54,5,36.730839999492055,-95.93199230208093
Platteville,Wisconsin,52210,1008,$65932,21%,37,$159084,1576,$100,52,78%,$731,43%,154,1299,4%,1%,69%,41%,50%,0%,0%,96%,1%,1%,N/A,84,27,56,63,10,63%,61%,-69,-17968,88,52%,64%,45%,39,14.63,4.62,33%,36%,29%,41,21,8,40,82,3,42.80702411053696,-90.5923571017948
Corsicana,Texas,51908,952,$47596,14%,35,$195051,1383,$141,45,65%,$844,50%,698,2879,13%,5%,62%,24%,73%,1%,15%,46%,30%,16%,N/A,97,58,38,74,35,54%,50%,53,68,108,61%,71%,56%,43,8.67,9.01,23%,18%,25%,0,0,6,43,58,5,32.075764445112775,-96.47009986381653
Greenville,Ohio,51839,2409,$45708,16%,43,$172277,1475,$114,61,60%,$663,52%,105,2346,12%,3%,57%,17%,77%,0%,1%,94%,1%,0%,N/A,85,36,48,64,20,60%,55%,41,61,87,53%,66%,41%,41,11.77,8.81,35%,34%,36%,28,17,8,38,73,3,40.115311799212215,-84.60529022264652
Rochelle,Illinois,51787,1225,$61430,20%,39,$171357,1892,$89,51,71%,$748,51%,90,830,13%,4%,63%,33%,59%,0%,1%,86%,8%,3%,N/A,83,30,53,62,13,59%,56%,38,59,86,52%,63%,43%,40,14.42,6.04,33%,35%,32%,35,21,8,42,80,3,42.01716553124869,-89.28023215611286
Douglas,Georgia,51317,949,$34079,10%,32,$200000,1852,$108,38,47%,$681,67%,N/A,N/A,32%,3%,45%,29%,68%,0%,53%,34%,10%,7%,N/A,92,61,31,71,37,52%,54%,53,69,102,62%,65%,55%,47,15.85,12.64,26%,37%,25%,0,0,6,54,53,5,31.51013074544303,-82.81168190959397
Oil City,Pennsylvania,50810,791,$51377,19%,46,$98246,1486,$68,63,67%,$688,51%,N/A,N/A,15%,8%,55%,26%,68%,0%,1%,93%,1%,0%,N/A,82,34,48,59,17,63%,59%,39,58,85,42%,52%,29%,49,15.06,10.59,49%,43%,59%,88,39,8,35,73,3,41.40406261466291,-79.76494262228873
Mason City,Iowa,50635,853,$56850,20%,42,$154508,1370,$111,65,70%,$750,47%,599,2667,10%,3%,67%,42%,51%,0%,2%,88%,5%,1%,N/A,82,23,58,61,7,62%,58%,36,59,85,58%,71%,49%,36,13.18,3.76,31%,34%,26%,46,23,8,41,79,3,43.16107352374426,-93.25379542129221
Jacksonville,Texas,50564,821,$51977,20%,33,$204605,1586,$126,41,65%,$870,53%,178,1409,18%,9%,55%,21%,75%,0%,16%,51%,28%,11%,N/A,95,58,36,73,36,57%,55%,54,70,108,58%,69%,50%,47,10.28,11.59,28%,24%,33%,0,0,7,55,55,5,31.9510451719596,-95.22630968509854
Galesburg,Illinois,50193,1479,$41569,18%,41,$102811,1339,$76,66,61%,$618,61%,452,4105,18%,5%,50%,44%,47%,1%,12%,76%,7%,4%,N/A,84,30,53,65,14,59%,57%,39,62,87,53%,63%,46%,41,12.64,6.16,29%,29%,26%,26,11,8,46,75,3,40.94086513039758,-90.35272810607849
Pahrump,Nevada,50096,130,$52863,12%,54,$342439,1852,$184,23,72%,$1023,46%,N/A,N/A,14%,10%,40%,26%,68%,2%,2%,72%,14%,8%,N/A,101,55,46,70,27,20%,14%,29,38,97,84%,90%,77%,4,0.56,1.9,6%,4%,10%,1,0,N/A,13,86,5,36.313201602953825,-116.06153336112834
Paris,Texas,49932,683,$41282,18%,37,$196308,1666,$114,40,56%,$790,56%,1016,2880,20%,4%,59%,19%,78%,1%,19%,66%,8%,2%,N/A,97,54,43,75,33,54%,50%,51,67,109,61%,71%,56%,51,11.5,9.83,26%,21%,29%,1,0,7,46,57,5,33.66770742600531,-95.52700625021681
Winona,Minnesota,49889,935,$68977,29%,39,$225478,1727,$149,38,80%,$765,46%,50,956,6%,3%,69%,43%,46%,1%,0%,92%,2%,2%,N/A,83,25,57,64,8,61%,58%,36,59,85,52%,64%,45%,37,14.16,3.96,32%,35%,28%,43,21,8,39,81,3,44.009675459684736,-91.73378686796947
Newport,Oregon,49866,1197,$51929,28%,50,$515517,1622,$318,42,59%,$1001,51%,262,2216,13%,6%,51%,49%,39%,1%,0%,79%,11%,6%,N/A,68,49,19,51,38,59%,42%,43,51,66,50%,67%,30%,81,4.65,33.94,50%,23%,71%,1,0,6,4,86,2,44.76068286472685,-124.01561691946901
Morgan City,Louisiana,49818,1450,$41322,11%,39,$170829,1801,$100,44,61%,$784,55%,90,1449,20%,6%,54%,35%,62%,1%,29%,55%,8%,5%,N/A,90,63,27,75,44,59%,61%,57,71,102,58%,62%,50%,62,22.12,14.68,30%,43%,31%,0,0,6,72,59,5,29.7269305880416,-91.3097531013559
Shelbyville,Tennessee,49754,1148,$47321,14%,33,$284862,1514,$189,37,50%,$815,61%,814,2945,17%,4%,66%,22%,74%,0%,10%,63%,20%,8%,N/A,89,48,40,68,28,56%,56%,48,67,97,55%,60%,46%,58,15.03,15.94,35%,35%,40%,3,2,6,56,65,4,35.510389718767904,-86.45553155208492
Amsterdam,New York,49539,1741,$50030,17%,44,$172807,1949,$93,66,68%,$726,51%,189,1164,15%,5%,56%,34%,59%,0%,0%,89%,5%,1%,N/A,80,29,50,58,11,57%,55%,37,58,81,50%,58%,45%,44,14.36,9.25,44%,43%,47%,59,32,7,22,77,3,42.93830923769408,-74.33507887424783
Ozark,Alabama,49443,675,$49519,25%,39,$204080,1798,$113,39,56%,$813,52%,N/A,N/A,17%,6%,56%,24%,72%,1%,31%,58%,5%,3%,N/A,92,61,31,71,39,54%,58%,55,70,106,58%,62%,50%,54,16.23,16.26,31%,41%,34%,0,0,5,74,46,5,31.28030509241584,-85.48661009880541
Alice,Texas,49204,1328,$42888,13%,34,$155070,1708,$91,41,62%,$787,50%,556,4149,24%,4%,55%,54%,43%,0%,0%,11%,87%,4%,N/A,98,69,29,74,45,61%,58%,62,73,120,59%,75%,46%,28,8.78,4.05,20%,19%,21%,0,0,8,25,75,5,27.73592054336171,-98.06242649747546
Gardnerville Ranchos,Nevada,49158,688,$76324,30%,51,$711484,1969,$342,28,74%,$1341,40%,N/A,N/A,6%,3%,53%,30%,62%,2%,0%,79%,13%,6%,N/A,89,44,45,52,19,31%,19%,29,38,85,81%,92%,65%,10,0.74,4.89,13%,6%,21%,23,7,6,15,80,4,38.9615468386383,-119.75576573739643
Fort Polk South,Louisiana,49064,959,$50489,18%,28,$113377,1495,$75,32,27%,$924,48%,979,4326,18%,6%,69%,16%,81%,2%,23%,54%,14%,4%,N/A,94,60,33,71,37,62%,62%,59,73,112,67%,81%,48%,59,13.65,15.67,34%,37%,39%,0,0,7,75,50,5,31.090549833390018,-93.23767261492202
Natchez,Mississippi,48916,929,$30030,24%,41,N/A,N/A,N/A,57,57%,$635,66%,N/A,N/A,31%,8%,50%,56%,42%,0%,63%,31%,4%,0%,N/A,90,57,33,72,35,59%,61%,57,71,101,59%,66%,50%,59,14.93,18.05,31%,35%,37%,0,0,6,72,57,5,31.544134275791954,-91.38525535370404
New Castle,Indiana,48857,1054,$49187,15%,39,$110872,1588,$69,67,67%,$758,53%,369,2028,17%,5%,57%,25%,68%,0%,1%,93%,1%,0%,N/A,83,34,49,61,18,60%,57%,42,63,85,51%,64%,41%,46,13.52,9.53,36%,35%,39%,24,15,8,41,70,3,39.93123671031663,-85.40459868438464
Clovis,New Mexico,48716,1518,$49646,21%,31,$258000,2150,$120,41,52%,$912,53%,660,3739,20%,8%,65%,23%,67%,1%,5%,42%,45%,8%,N/A,91,51,39,60,22,43%,42%,37,56,93,72%,78%,66%,18,7.97,1.56,15%,26%,8%,8,2,N/A,47,74,5,34.43475634871736,-103.2041169413773
Norfolk,Nebraska,48696,1910,$54669,22%,36,$220591,1988,$108,49,71%,$748,50%,125,1469,11%,3%,69%,17%,75%,1%,1%,79%,15%,6%,N/A,85,32,53,63,11,56%,54%,37,60,87,60%,71%,53%,27,11.16,2.33,23%,29%,17%,33,17,N/A,47,82,3,42.03858424292914,-97.44793565352946
Cadillac,Michigan,48590,630,$44770,17%,39,$192460,1475,$125,55,67%,$686,55%,378,2599,18%,7%,57%,26%,67%,0%,1%,92%,2%,1%,N/A,80,27,53,56,12,62%,55%,35,55,81,46%,63%,28%,36,10.32,6.42,44%,37%,54%,82,53,8,31,86,3,44.3138322810748,-85.40019542015285
Ruston,Louisiana,48415,932,$36193,42%,25,$300302,1959,$153,36,36%,$753,70%,383,3056,34%,3%,54%,38%,57%,2%,47%,43%,3%,4%,N/A,93,57,35,72,34,58%,56%,54,70,104,58%,69%,50%,58,12.42,16.13,25%,22%,31%,0,0,7,55,53,5,32.53968022021371,-92.64770790837403
Sidney,Ohio,48307,2775,$63247,21%,36,$228725,1544,$147,46,72%,$726,42%,186,3420,7%,5%,70%,17%,78%,0%,0%,95%,0%,0%,N/A,84,35,48,62,18,60%,55%,41,61,86,53%,66%,41%,43,12.78,8.91,37%,35%,39%,25,19,7,38,66,3,40.32557215180016,-84.19323683036086
Pullman,Washington,48197,2556,$36407,54%,27,$423303,2105,$200,39,43%,$869,67%,121,789,29%,8%,59%,45%,41%,9%,2%,74%,7%,11%,N/A,86,36,49,51,24,48%,28%,36,45,83,52%,73%,28%,20,2.09,7.71,33%,16%,45%,50,23,5,10,83,3,46.77931521136451,-117.20301094001644
Malone,New York,47996,587,$49675,20%,40,$254471,3678,$105,73,63%,$694,53%,170,1738,20%,6%,58%,43%,48%,0%,1%,92%,2%,1%,N/A,77,26,51,56,6,58%,54%,37,58,77,49%,60%,42%,39,12.51,7.21,48%,48%,52%,88,47,8,23,92,2,44.65530241243467,-74.34931116578986
Del Rio,Texas,47767,1823,$51383,18%,32,$184612,1987,$120,38,62%,$817,46%,105,1696,17%,4%,61%,51%,43%,0%,1%,12%,84%,22%,N/A,99,64,35,76,40,53%,51%,54,68,117,57%,69%,51%,19,6.37,1.7,15%,14%,11%,0,0,8,34,67,6,29.371270042969527,-100.87593147760708
Blackfoot,Idaho,47540,1976,$56157,19%,31,$282985,1544,$190,48,72%,$708,45%,250,1730,9%,6%,64%,17%,65%,0%,0%,72%,21%,5%,N/A,88,30,57,55,14,45%,25%,29,41,85,62%,79%,43%,11,2.19,2.63,23%,13%,30%,38,26,N/A,23,83,4,43.20967035025425,-112.36418582635909
Red Wing,Minnesota,47503,1058,$65615,25%,41,$284309,1654,$171,46,77%,$870,49%,136,2020,9%,3%,66%,36%,55%,0%,1%,89%,4%,2%,N/A,83,23,59,61,6,64%,60%,34,58,86,N/A%,N/A%,N/A%,35,14.33,3.66,30%,34%,24%,51,24,8,40,75,3,44.45185660522763,-92.6550913267747
Nogales,Arizona,47463,609,$44828,21%,37,$282235,1965,$147,33,69%,$790,48%,203,3023,22%,10%,58%,71%,23%,0%,0%,12%,85%,33%,N/A,97,64,33,60,32,24%,25%,37,50,92,85%,86%,80%,15,8.44,2.4,17%,35%,15%,0,0,7,43,79,6,31.44312423203028,-110.95216547832109
Tahlequah,Oklahoma,47307,709,$46048,32%,32,$207609,1677,$123,36,53%,$711,58%,111,3639,19%,6%,58%,33%,60%,1%,2%,47%,7%,3%,N/A,92,50,42,70,27,56%,55%,47,67,102,60%,71%,53%,51,12.91,8.78,27%,27%,21%,6,1,7,52,48,4,35.88530767509355,-95.01372436827188
Kendallville,Indiana,47293,643,$54418,8%,36,$150175,1463,$105,50,69%,$682,56%,22,571,8%,4%,61%,22%,71%,0%,0%,82%,13%,7%,N/A,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,39,11.34,7.35,38%,33%,42%,36,27,7,36,79,3,41.42499374041275,-85.37959797606557
Montrose,Colorado,47178,1073,$53455,26%,47,$424886,1567,$265,30,70%,$939,44%,186,3248,13%,7%,54%,25%,67%,0%,0%,73%,22%,8%,N/A,89,38,50,58,15,36%,21%,29,41,85,69%,79%,60%,11,2.78,2.53,21%,21%,23%,157,54,7,33,80,6,38.466495211318076,-107.90678756922183
Cortland,New York,46984,2005,$54938,29%,30,$154415,1348,$116,50,57%,$798,62%,253,1484,16%,6%,62%,43%,48%,1%,2%,89%,3%,2%,N/A,79,31,48,58,13,60%,55%,37,57,81,44%,57%,32%,44,13.78,9.12,43%,41%,48%,53,26,8,26,81,3,42.59595777866552,-76.13659291236273
Mount Sterling,Kentucky,46913,1271,$40889,15%,37,$180624,1465,$123,44,55%,$563,52%,173,3181,23%,8%,52%,27%,68%,0%,3%,91%,3%,0%,N/A,86,41,44,63,22,58%,62%,44,64,94,55%,65%,46%,53,14.84,12.14,41%,40%,46%,12,9,4,42,72,4,38.05434109581078,-83.87025883947423
Clinton,Iowa,46589,794,$51443,18%,41,$125886,1472,$86,64,73%,$673,51%,296,3380,15%,5%,60%,42%,49%,0%,3%,88%,3%,1%,N/A,83,29,54,64,13,59%,57%,22,-2745,86,53%,63%,46%,40,14.3,5.63,32%,34%,30%,32,20,8,46,76,3,41.87602107298362,-90.35345356776088
Sandpoint,Idaho,46481,1421,$52861,28%,42,$598984,1881,$312,37,61%,$998,48%,204,2244,13%,3%,58%,27%,63%,0%,0%,87%,5%,2%,N/A,84,32,51,51,21,52%,30%,34,43,82,52%,73%,28%,36,4.41,12.34,41%,21%,55%,74,35,8,10,68,3,48.25363240170501,-116.59904394161121
Bardstown,Kentucky,46440,1054,$49923,20%,36,$414286,2405,$171,38,62%,$814,50%,99,2331,12%,5%,61%,30%,64%,0%,10%,80%,4%,2%,N/A,87,44,43,65,25,56%,55%,45,65,92,55%,65%,46%,53,13.13,12.87,35%,34%,40%,14,12,7,45,52,4,37.818990400551876,-85.44564627282197
Wapakoneta,Ohio,46282,717,$80580,29%,38,$140947,1337,$109,55,81%,$757,37%,110,2677,5%,5%,69%,16%,78%,0%,2%,94%,1%,1%,N/A,84,34,49,63,19,60%,55%,40,60,86,53%,66%,41%,42,12.25,8.54,36%,33%,38%,24,13,7,38,75,3,40.53902158521001,-84.2382585527876
Plymouth,Indiana,46175,639,$50998,20%,39,$183802,1707,$110,53,65%,$807,50%,131,2248,14%,4%,61%,26%,67%,0%,1%,80%,16%,6%,N/A,84,32,52,61,17,61%,56%,40,60,87,59%,74%,46%,41,12.74,8.35,37%,33%,42%,58,27,N/A,41,78,3,41.34738464076829,-86.26728165168183
Lewistown,Pennsylvania,46156,7062,$49272,13%,42,$168344,1746,$108,59,67%,$725,50%,30,394,15%,4%,60%,20%,75%,0%,0%,92%,2%,1%,N/A,86,36,49,62,20,56%,55%,40,61,90,53%,61%,49%,42,11.87,8.75,38%,39%,37%,23,12,6,30,73,3,40.61472714325244,-77.61182956605506
Bemidji,Minnesota,46033,658,$43269,25%,28,$206915,1208,$171,42,49%,$803,71%,523,7441,26%,6%,61%,40%,50%,1%,1%,66%,2%,1%,N/A,80,18,61,58,-2,62%,55%,30,55,81,56%,70%,48%,26,11.22,2.64,31%,35%,27%,59,42,7,32,79,2,47.55703836659036,-94.87812646687205
Bellefontaine,Ohio,45997,1073,$56662,15%,37,$250713,1588,$158,56,64%,$720,45%,165,1560,12%,6%,63%,21%,73%,0%,2%,89%,2%,1%,N/A,83,34,49,63,18,59%,55%,41,61,85,51%,63%,39%,44,13.64,9.17,37%,34%,42%,24,14,7,38,70,3,40.363844971363726,-83.76521304355248
Seymour,Indiana,45948,1829,$49098,16%,36,$175861,1383,$126,46,63%,$811,54%,205,4352,17%,3%,59%,21%,72%,2%,1%,83%,10%,6%,N/A,85,39,46,64,22,56%,55%,44,64,89,54%,64%,45%,49,13.77,11.14,35%,33%,38%,16,11,7,44,63,4,38.92526641951687,-85.9255225514113
Burley,Idaho,45862,1910,$50933,13%,30,$304995,1706,$181,49,65%,$788,45%,64,1091,18%,4%,65%,14%,71%,0%,0%,60%,34%,12%,N/A,88,36,51,56,20,45%,25%,29,41,85,62%,79%,43%,11,1.47,2.85,21%,11%,27%,26,16,7,23,82,4,42.553459297204455,-113.7457406541933
Durant,Oklahoma,45809,660,$42498,24%,35,$187768,1538,$122,37,50%,$803,56%,336,3416,19%,5%,59%,20%,75%,0%,2%,66%,7%,3%,N/A,93,53,40,72,32,54%,50%,51,67,101,61%,71%,56%,45,10.21,8.18,18%,17%,16%,3,0,7,45,58,5,33.98080040772033,-96.39345348205406
Moultrie,Georgia,45800,827,$36963,15%,34,N/A,N/A,N/A,44,51%,$656,60%,N/A,N/A,24%,8%,56%,25%,72%,1%,37%,43%,16%,9%,N/A,91,60,30,71,38,54%,59%,57,71,103,63%,67%,56%,49,16.17,14.01,27%,38%,27%,0,0,5,82,44,5,31.19207200844391,-83.74861652308002
Bogalusa,Louisiana,45794,1034,$31877,11%,38,$115035,1641,$69,49,58%,$694,62%,1235,4390,31%,9%,53%,30%,67%,0%,47%,48%,2%,0%,N/A,91,60,31,70,38,62%,64%,59,73,105,58%,62%,51%,62,18.55,17.02,28%,39%,31%,1,0,8,67,54,6,30.804192426405486,-89.92868418862554
Cornelia,Georgia,45767,1020,$54525,20%,31,$236402,1560,$151,32,65%,$799,59%,N/A,N/A,19%,1%,48%,15%,80%,2%,10%,61%,23%,13%,N/A,86,49,36,66,29,55%,57%,48,66,90,59%,62%,53%,59,14.59,17.08,33%,37%,36%,4,1,8,43,70,5,34.53002974444865,-83.53954158378806
