	Month of Period End
Laurel Hill, FL	$135K
Laurel Hill, NC	
Laurel Hill, VA	$800K
Laurel Hollow, NY	$1,938K
Laurel Lake, NJ	$118K
Laurel Mountain, PA	
Laurel Park, NC	$455K
Laurel Park, VA	
Laurel Run, PA	$211K
Laurel Springs, NJ	$308K
Laurel, FL	$571K
Laurel, IA	
Laurel, IN	$90K
Laurel, MD	$403K
Laurel, MT	$350K
Laurel, NY	
Laurel, VA	$343K
Laureldale, PA	$207K
Laureles, TX	
Laurelton, PA	
Laurelville, OH	$180K
Laurence Harbor, NJ	$405K
Laurens, NY	
Laurens, SC	$197K
Laurinburg, NC	$160K
Laurium, MI	
Laurys Station, PA	$462K
Lava Hot Springs, ID	
Lavaca, AR	$187K
Lavallette, NJ	$850K
Lavelle, PA	
Lavon, TX	$397K
Lawai, HI	
Lawn, TX	
Lawndale, CA	$807K
Lawndale, NC	$218K
Lawnside, NJ	$287K
Lawnton, PA	$260K
Lawrence Creek, OK	
Lawrence Park, PA	$145K
Lawrence, IL	
Lawrence, IN	$258K
Lawrence, KS	$250K
Lawrence, MA	$453K
Lawrence, NY	
Lawrence, PA	$324K
Lawrenceburg, IN	$248K
Lawrenceburg, KY	$245K
Lawrenceburg, TN	$183K
Lawrenceville, GA	$380K
Lawrenceville, NJ	$395K
Lawrenceville, OH	
Lawson Heights, PA	$294K
Lawson, AR	
Lawson, MO	$265K
Lawtell, LA	
Lawton, IA	
Lawton, OK	$92K
Layhill, MD	$340K
Laymantown, VA	$245K
Layton, FL	$500K
Layton, NJ	$350K
Layton, UT	$525K
Laytonsville, MD	
Laytonville, CA	
Lazy Acres, CO	
Lazy Lake, FL	
Lazy Mountain, AK	$475K
Lazy Y U, AZ	
Le Center, MN	$306K
Le Claire, IA	$400K
Le Grand, CA	$300K
Le Grand, IA	$141K
Le Ray, NY	$275K
Le Raysville, PA	
Le Roy, IL	
Le Roy, MN	$186K
Le Roy, NY	$170K
Le Sueur, MN	$290K
Lea Hill, WA	$743K
Leachville, AR	
Lead Hill, AR	
Lead, SD	$182K
Leadington, MO	$125K
Leadwood, MO	$60K
Leaf River, IL	$60K
League City, TX	$365K
Lealman, FL	$280K
Leamersville, PA	
Leander, TX	$447K
Learned, MS	
Leary, TX	$110K
Leavenworth, KS	$195K
Leavenworth, WA	$499K
Leavittsburg, OH	$72K
Leawood, KS	$720K
Leawood, MO	$635K
Lebanon Junction, KY	$200K
Lebanon South, PA	$172K
Lebanon, IL	$298K
Lebanon, IN	$245K
Lebanon, MO	$180K
Lebanon, NH	$392K
Lebanon, NJ	$383K
Lebanon, NY	$285K
Lebanon, OH	$280K
Lebanon, OR	$401K
Lebanon, PA	$142K
Lebanon, TN	$384K
Lebanon, WI	
Lebec, CA	
Lecanto, FL	$310K
Lecompte, LA	
Lecompton, KS	
Ledbetter, KY	$127K
Ledgewood, NJ	$355K
Ledyard, NY	$318K
Lee Center, IL	
Lee, IL	
Lee, MA	$229K
Lee, NY	$60K
Lee's Summit, MO	$390K
Leechburg, PA	$172K
Leeds Point, NJ	
Leeds, AL	$230K
Leeds, UT	$820K
Leesburg, FL	$308K
Leesburg, GA	$163K
Leesburg, IN	
Leesburg, NJ	$330K
Leesburg, VA	$590K
Leesport, PA	$235K
Leesville, LA	$76K
Leesville, OH	
Leesylvania, VA	$510K
Leeton, MO	$379K
Leetonia, OH	
Leetsdale, PA	
Lefors, TX	
Legend Lake, WI	$495K
Leggett, CA	
Leggett, NC	
Lehi, UT	$503K
Lehigh Acres, FL	$340K
Lehigh, IA	
Lehighton, PA	$140K
Leicester, MA	$357K
Leicester, NY	
Leighton, AL	
Leilani Estates, HI	$361K
Leipsic, DE	
Leisure City, FL	$415K
Leisure Knoll, NJ	$290K
Leisure Village East, NJ	$266K
Leisure Village West, NJ	$235K
Leisure Village, NJ	$150K
Leisure World, MD	$260K
Leisuretowne, NJ	$254K
Leitersburg, MD	
Leith-Hatfield, PA	$336K
Leland Grove, IL	$237K
Leland, IL	$226K
Leland, MI	
Leland, MS	
Leland, NC	$336K
Lely Resort, FL	$720K
Lely, FL	$306K
Lemannville, LA	
Lemay, MO	$152K
Leming, TX	
Lemmon Valley, NV	$453K
Lemon Cove, CA	
Lemon Grove, CA	$704K
Lemon Grove, FL	
Lemon Hill, CA	$421K
Lemont Furnace, PA	
Lemont, IL	$423K
Lemont, PA	$380K
Lemoore, CA	$326K
Lemoyne, PA	$182K
Lena, IL	$49K
Lena, WI	$301K
Lenape Heights, PA	
Lenexa, KS	$456K
Lenhartsville, PA	$632K
Lenkerville, PA	
Lennon, MI	$187K
Lennox, CA	$508K
Lennox, SD	$350K
Lenoir City, TN	$310K
Lenoir, NC	$230K
Lenox Dale, MA	
Lenox, MA	$809K
Lenox, NY	$183K
Lenox, TN	$285K
Lenwood, CA	$260K
Lenzburg, IL	
Leo-Cedarville, IN	$425K
Leola, AR	
Leola, PA	$246K
Leoma, TN	
Leominster, MA	$320K
Leon Valley, TX	$260K
Leon, KS	
Leon, NY	$210K
Leon, OK	
Leona Valley, CA	
Leonard, MI	
Leonard, OK	$416K
Leonard, TX	$190K
Leonardo, NJ	$636K
Leonardtown, MD	$485K
Leonardville, KS	
Leonia, NJ	$630K
Leonore, IL	
Leonville, LA	
Leopolis, WI	
Leota, MN	
Lepanto, AR	
Lerna, IL	
Leroy, AL	
Leroy, TX	
Leshara, NE	
Leslie, GA	
Leslie, MI	$87K
Leslie, MO	
Lesslie, SC	$241K
Lester Prairie, MN	$288K
Lester, AL	
Lesterville, SD	
Letha, ID	
Letona, AR	$113K
Levan, UT	
Levasy, MO	
Level Green, PA	$347K
Level Park-Oak Park, MI	$142K
Level Plains, AL	$380K
Levelland, TX	$225K
Leverett, MA	
Levittown, NY	$620K
Levittown, PA	$325K
Lewis & Clark Village, MO	
Lewis Run, PA	
Lewisberry, PA	$455K
Lewisboro, NY	$601K
Lewisburg, LA	
Lewisburg, PA	$405K
Lewisburg, TN	$254K
Lewisport, KY	$192K
Lewiston, ID	$358K
Lewiston, ME	$281K
Lewiston, MN	$228K
Lewiston, NY	$320K
Lewiston, UT	$379K
Lewistown, IL	$158K
Lewistown, MD	$421K
Lewistown, MO	
Lewistown, OH	
Lewistown, PA	$85K
Lewisville, ID	
Lewisville, IN	
Lewisville, NC	$489K
Lewisville, TX	$435K
Lewisville, WA	$650K
Lexa, AR	
Lexington Hills, CA	$1,015K
Lexington Park, MD	$325K
Lexington-Fayette, KY	$301K
Lexington, AL	$226K
Lexington, IL	$115K
Lexington, KY	$301K
Lexington, MA	$1,741K
Lexington, MN	$307K
Lexington, MO	$156K
Lexington, MS	
Lexington, NC	$260K
Lexington, NE	$175K
Lexington, OH	$216K
Lexington, OK	$181K
Lexington, OR	
Lexington, WA	$390K
Leyden, MA	$282K
Leyner, CO	
Liberal, KS	$153K
Liberty City, TX	$267K
Liberty Corner, NJ	$758K
Liberty Hill, TX	$364K
Liberty Lake, WA	$480K
Liberty Township, OH	$450K
Liberty Triangle, FL	$303K
Liberty, IL	
Liberty, IN	
Liberty, KS	
Liberty, MO	$314K
Liberty, NC	$245K
Liberty, NE	
Liberty, OK	
Liberty, PA	$155K
Liberty, SC	$220K
Liberty, TX	$243K
Liberty, UT	$799K
Libertytown, MD	$420K
Libertyville, IA	
Libertyville, IL	$540K
Lidderdale, IA	
Lido Beach, NY	$800K
Light Oak, NC	
Lighthouse Point, FL	$690K
Lightstreet, PA	$322K
Ligonier, IN	$157K
Ligonier, PA	$300K
Lihue, HI	$535K
Lilburn, GA	$383K
Lilesville, NC	
Lillian, AL	$699K
Lillington, NC	$264K
Lilly, PA	$70K
Lily Lake, IL	$505K
Lily Lake, WI	
Lilydale, MN	$250K
Lima, IL	
Lima, NY	
Lima, OH	$123K
Lima, PA	
Limaville, OH	
Lime Lake, NY	
Lime Ridge, PA	
Lime Ridge, WI	
Limestone Creek, FL	$791K
Limestone, FL	
Limestone, IL	$129K
Limestone, NY	
Limestone, OK	$575K
Lincoln Beach, OR	$765K
Lincoln City, OR	$530K
Lincoln Heights, OH	
Lincoln Park, CO	$300K
Lincoln Park, GA	
Lincoln Park, MI	$135K
Lincoln Park, NJ	$427K
Lincoln Park, NY	
Lincoln Park, PA	$265K
Lincoln Park, TX	$420K
Lincoln University, PA	$380K
Lincoln Village, CA	$378K
Lincoln Village, OH	$235K
Lincoln, AL	$245K
Lincoln, AR	$190K
Lincoln, CA	$630K
Lincoln, ID	$420K
Lincoln, IL	$110K
Lincoln, MA	$2,012K
Lincoln, ME	$145K
Lincoln, MT	$463K
Lincoln, NE	$285K
Lincoln, NH	$470K
Lincoln, NY	
Lincoln, PA	$295K
Lincoln, RI	$510K
Lincolndale, NY	$465K
Lincolnia, VA	$553K
Lincolnshire, IL	$750K
Lincolnshire, KY	
Lincolnton, GA	$73K
Lincolnton, NC	$236K
Lincolnville, PA	
Lincolnville, SC	$334K
Lincolnwood, IL	$470K
Lincroft, NJ	$705K
Lind, WA	$222K
Linda, CA	$425K
Lindale, GA	$166K
Lindale, TX	$280K
Lindcove, CA	
Linden Springs, MD	$458K
Linden, AZ	$691K
Linden, CA	$520K
Linden, IA	
Linden, IN	
Linden, MI	$319K
Linden, NC	
Linden, NJ	$561K
Linden, WI	$130K
Lindenhurst, IL	$245K
Lindenhurst, NY	$525K
Lindenwold, NJ	$225K
Lindley, NY	
Lindon, UT	$577K
Linds Crossing, PA	
Lindsay, CA	$480K
Lindsay, NE	
Lindsay, TX	$245K
Lindsborg, KS	$152K
Lindsey, OH	
Lindstrom, MN	$365K
Linesville, PA	
Linganore, MD	$524K
Linglestown, PA	$308K
Lingleville, TX	
Linn Grove, IA	
Linn Valley, KS	$209K
Linn, MO	
Linn, TX	
Linndale, OH	
Linntown, PA	
Lino Lakes, MN	$454K
Linoma Beach, NE	
Linthicum Heights, MD	$353K
Linthicum, MD	$412K
Linton Hall, VA	$682K
Linville, VA	
Linwood, KS	
Linwood, NJ	$357K
Linwood, NY	
Linwood, PA	$127K
Lionville, PA	$435K
Lipan, TX	
Lipscomb, AL	
Lisbon Falls, ME	$316K
Lisbon, FL	
Lisbon, IA	$170K
Lisbon, IL	
Lisbon, MD	
Lisbon, NH	$250K
Lisbon, NY	
Lisbon, OH	
Liscomb, IA	
Lisle, IL	$360K
Lisle, NY	$255K
Lismore, MN	
Litchfield Beach, SC	$495K
Litchfield Park, AZ	$438K
Litchfield, CA	
Litchfield, CT	$525K
Litchfield, MI	
Litchfield, NY	
Literberry, IL	
Lithia Springs, GA	$310K
Lithonia, GA	$270K
Lithopolis, OH	$414K
Lititz, PA	$405K
Little Bitterroot Lake, MT	$899K
Little Britain, PA	$565K
Little Canada, MN	$355K
Little Chute, WI	$223K
Little Compton, RI	$1,155K
Little Creek, DE	
Little Cypress, TX	$190K
Little Elm, TX	$450K
Little Falls, ME	
Little Falls, NY	$100K
Little Ferry, NJ	$418K
Little Flock, AR	$388K
Little Hocking, OH	$235K
Little Mountain, SC	
Little Orleans, MD	
Little River-Academy, TX	$178K
Little River, CA	
Little River, SC	$350K
Little Rock, AR	$229K
Little Silver, NJ	$699K
Little Sioux, IA	
Little Valley, CA	
Little Valley, NY	
Little Walnut Village, NM	$477K
Little York, IN	
Littlejohn Island, ME	
Littlerock, CA	$439K
Littlestown, PA	$276K
Littleton Common, MA	$1,058K
Littleton, CO	$617K
Littleton, MA	$1,110K
Littleton, NC	$124K
Littleton, NH	$223K
Littletown, AZ	
Littleville, AL	$187K
Live Oak, CA	$740K
Live Oak, SC	
Live Oak, TX	$283K
Livermore Falls, ME	$190K
Livermore, CA	$1,146K
Livermore, KY	$295K
Liverpool, IL	
Liverpool, NY	$242K
Liverpool, PA	$344K
Liverpool, TX	
Livingston Wheeler, NM	
Livingston, CA	$415K
Livingston, IL	
Livingston, LA	$185K
Livingston, NY	$330K
Livingston, SC	
Livingston, TN	$167K
Livingston, WI	
Livonia Center, NY	$30K
Livonia, IN	
Livonia, LA	$145K
Livonia, MI	$276K
Livonia, NY	$260K
Lizton, IN	$581K
Llano Grande, TX	
Llano, CA	$320K
Llewellyn Park, NJ	
Lloyd Harbor, NY	$950K
Lloyd, FL	
Lloyd, NY	$280K
Lloydsville, OH	
Loachapoka, AL	
Loami, IL	
Lobeco, SC	
Lobo Canyon, NM	
Loch Arbour, NJ	
Loch Lloyd, MO	$1,175K
Loch Lomond, VA	$462K
Lochbuie, CO	$468K
Lochearn, MD	$298K
Lochmoor Waterway Estates, FL	$470K
Lochsloy, WA	$950K
Lock Haven, PA	$123K
Lockbourne, OH	$315K
Locke, NY	
Lockeford, CA	$325K
Lockhart, FL	$275K
Lockhart, SC	
Lockhart, TX	$310K
Lockington, OH	
Lockland, OH	
Lockport Heights, IL	$335K
Lockport Heights, LA	
Lockport, IL	$285K
Lockport, LA	$148K
Lockport, NY	$132K
Lockridge, IA	
Lockwood, CA	$2,100K
Lockwood, MT	$387K
Loco Hills, NM	
Locust Fork, AL	
Locust Grove, GA	$344K
Locust Hill, VA	
Locust Valley, NY	$705K
Locust, NC	$370K
Locustdale, PA	
Lodi, CA	$500K
Lodi, NJ	$580K
Lodi, NY	
Lodi, OH	$242K
Lodi, WI	$173K
Lofall, WA	$650K
Log Cabin, TX	$675K
Log Lane Village, CO	$340K
Logan Creek, NV	
Logan Elm Village, OH	
Logan, IA	$158K
Logan, MT	
Logan, OH	$167K
Logan, UT	$400K
Logansport, IN	$78K
Logansport, LA	
Loganton, PA	
Loganville, GA	$411K
Loganville, PA	$395K
Loganville, WI	
Loghill Village, CO	$915K
Lohman, MO	$165K
Loleta, CA	$250K
Lolo, MT	$499K
Loma Linda East, TX	
Loma Linda, CA	$577K
Loma Linda, MO	$275K
Loma Mar, CA	
Loma Rica, CA	$593K
Loma, CO	
Lomax, IL	
Lombard, IL	$300K
Lometa, TX	$175K
Lomira, WI	$288K
Lomita, CA	$890K
Lompico, CA	$1,575K
Lompoc, CA	$550K
Lonaconing, MD	$78K
London Mills, IL	
London, AR	$250K
London, CA	
London, KY	$275K
London, OH	$257K
Londonderry, NH	$453K
Londontowne, MD	$395K
Lone Grove, OK	$300K
Lone Jack, MO	$338K
Lone Oak, GA	
Lone Oak, TX	$173K
Lone Tree, CO	$1,073K
Lone Tree, IA	$167K
Long Barn, CA	
Long Beach, CA	$790K
Long Beach, IN	$750K
Long Beach, MD	$401K
Long Beach, MS	$292K
Long Beach, NY	$1,050K
Long Branch, NJ	$810K
Long Branch, PA	
Long Branch, VA	$764K
Long Creek, IL	$273K
Long Creek, NC	
Long Grove, IA	$434K
Long Grove, IL	$905K
Long Hill, CT	$58K
Long Lake, IL	$215K
Long Lake, MN	$967K
Long Lake, WI	
Long Point, IL	
Long Valley, NJ	$614K
Long View, NC	$194K
Long, OK	
Longboat Key, FL	$1,200K
Longbranch, WA	$575K
Longcreek, SC	
Longfellow, PA	
Longmeadow, MA	$494K
Longmont, CO	$590K
Longport, NJ	$1,013K
Longstreet, LA	
Longtown, OK	$345K
Longview Heights, WA	$521K
Longview, IL	
Longview, TX	$254K
Longview, WA	$379K
Longville, LA	
Longville, MN	
Longwood, FL	$417K
Lonoke, AR	$113K
Lonsdale, AR	
Lonsdale, MN	$372K
Lookingglass, OR	
Lookout Mountain, AL	$44K
Loomis, CA	$672K
Loomis, SD	
Loon Lake, WA	$847K
Loop, PA	$230K
Lopatcong Overlook, NJ	
Lopezville, TX	
Lorain, OH	$135K
Lorain, PA	$60K
Loraine, IL	
Lorane, PA	$100K
Lordship, CT	$560K
Lordstown, OH	
Lore City, OH	
Loreauville, LA	
Lorena, TX	$555K
Lorenz Park, NY	
Lorenzo, IL	
Lorenzo, TX	
Loretto, MN	$710K
Loretto, PA	
Loretto, TN	$180K
Loris, SC	$263K
Lorraine, NY	
Lorton, VA	$660K
Los Alamitos, CA	$1,422K
Los Alamos, CA	$1,255K
Los Alamos, NM	$615K
Los Altos Hills, CA	$6,075K
Los Altos, CA	$4,000K
Los Alvarez, TX	
Los Angeles, CA	$930K
Los Arrieros, TX	
Los Banos, CA	$460K
Los Barreras, TX	
Los Berros, CA	
Los Cerrillos, NM	$313K
Los Ebanos, TX	$65K
Los Fresnos, TX	$267K
Los Gatos, CA	$2,300K
Los Indios, TX	
Los Luceros, NM	
Los Molinos, CA	$315K
Los Ojos, NM	
Los Olivos, CA	$2,175K
Los Osos, CA	$1,046K
Los Ranchos, CA	
Lost Bridge Village, AR	$827K
Lost City, OK	
Lost Creek, TX	$1,583K
Lost Hills, CA	
Lost Nation, IA	
Lost Nation, IL	$280K
Lostant, IL	
Lothian, MD	
Lott, TX	
Loudon, NH	$500K
Loudon, TN	$321K
Loudonville, NY	$365K
Loudonville, OH	$655K
Loudoun Valley Estates, VA	$550K
Loughman, FL	$420K
Louisburg, KS	$316K
Louisburg, MO	
Louisburg, NC	$320K
Louise, TX	
Louisville, AL	
Louisville, CO	$933K
Louisville, KS	
Louisville, KY	$268K
Louisville, NE	$270K
Louisville, NY	
Louisville, OH	$181K
Louisville, TN	$651K
Louviers, CO	
Love Valley, NC	
Lovejoy, GA	$326K
Lovelaceville, KY	
Loveland Park, OH	
Loveland, CO	$495K
Loveland, IA	
Loveland, OH	$411K
Loves Park, IL	$145K
Lovettsville, VA	$635K
Loving, NM	
Lovingston, VA	
Lovington, NM	$150K
Low Moor, IA	
Lowell, AR	$333K
Lowell, IN	$276K
Lowell, MA	$391K
Lowell, MI	$313K
Lowell, NC	$268K
Lowell, OH	
Lowell, OR	$400K
Lowell, WI	
Lowellville, OH	$130K
Lower Allen, PA	$256K
Lower Berkshire Valley, NJ	
Lower Burrell, PA	$158K
Lower Grand Lagoon, FL	$510K
Lower Lake, CA	$324K
Lower Salem, OH	
Lowes Island, VA	$725K
Lowes, KY	
Lowesville, NC	
Lowgap, NC	$199K
Lowman, ID	
Lowndesboro, AL	
Lowpoint, IL	$120K
Lowrey, OK	
Lowry Crossing, TX	$1,025K
Lowrys, SC	$450K
Loxahatchee Groves, FL	$587K
Loxley, AL	$299K
Loyalhanna, PA	$191K
Loyola, CA	$6,090K
Lozano, TX	
Lubbock, TX	$240K
Lucama, NC	$180K
Lucas Valley-Marinwood, CA	$1,755K
Lucas, OH	
Lucas, TX	$1,050K
Lucasville, OH	
Lucerne Mines, PA	
Lucerne Valley, CA	$325K
Lucerne, CA	$300K
Luckey, OH	$120K
Ludington, MI	$249K
Ludlow Falls, OH	
Ludlow, IL	
Ludlow, KY	$196K
Ludlow, MA	$313K
Ludlow, VT	
Ludowici, GA	$263K
Lueders, TX	
Lufkin, TX	$215K
Luke, MD	
Lula, GA	$374K
Lula, MS	
Luling, LA	$236K
Luling, TX	$253K
Lumber Bridge, NC	$189K
Lumber City, PA	
Lumberton, NC	$158K
Lumberton, TX	$319K
Lummi Island, WA	$1,183K
Luna Pier, MI	$100K
Lunenburg, MA	$665K
Lupus, MO	
Luray, MO	
Lusby, MD	$385K
Lutcher, LA	$160K
Luther, IA	
Luther, OK	$226K
Luthersville, GA	$260K
Lutherville, MD	$586K
Luttrell, TN	
Lutz, FL	$495K
Luxemburg, IA	
Luxemburg, WI	$553K
Luxora, AR	
Luzerne, PA	$155K
Lydia, LA	
Lydia, SC	
Lyerly, GA	
Lyford, TX	
Lykens, PA	$55K
Lyle, MN	
Lyman, MS	$232K
Lyman, NE	
Lyman, SC	$280K
Lyman, WA	
Lyme, NY	$48K
Lynbrook, NY	$626K
Lynchburg, Moore County, TN	$315K
Lynchburg, MS	
Lynchburg, VA	$235K
Lyncourt, NY	$165K
Lynd, MN	
Lynden, WA	$655K
Lyndhurst, OH	$212K
Lyndhurst, VA	$280K
Lyndon, IL	$27K
Lyndon, KS	$50K
Lyndon, KY	$315K
Lyndon, NY	
Lyndonville, NY	$109K
Lynn Center, IL	
Lynn Haven, FL	$330K
Lynn, MA	$503K
Lynnfield, MA	$913K
Lynnview, KY	$170K
Lynnville, IA	
Lynnville, IL	
Lynnville, IN	$143K
Lynnwood-Pricedale, PA	$95K
Lynnwood, WA	$688K
Lynwood, CA	$650K
Lynwood, IL	$355K
Lyon Mountain, NY	
Lyon, MS	
Lyons, CO	$1,175K
Lyons, GA	
Lyons, IL	$210K
Lyons, MI	$108K
Lyons, NJ	$655K
Lyons, NY	$101K
Lyons, OH	
Lyons, OR	$510K
Lyons, PA	$252K
Lyons, SD	
Lyons, TX	
Lyons, WI	
Lysander, NY	$390K
Lytle Creek, CA	
Lytle, TX	
Maalaea, HI	$395K
Mabank, TX	$310K
Mabel, MN	
Mableton, GA	$346K
Mabton, WA	
Macclenny, FL	$277K
Macclesfield, NC	
Macdona, TX	
MacDonnell Heights, NY	
Macedon, NY	
Macedonia, IA	
Macedonia, OH	$310K
Maceo, KY	
Machesney Park, IL	$128K
Machias, NY	$140K
Machias, WA	$1,035K
Mack, OH	$451K
Mackenzie, MO	
Mackinaw, IL	$153K
Macksburg, IA	
Macksburg, OH	
Macomb, IL	$87K
Macomb, NY	
Macomb, OK	$163K
Macon, GA	$140K
Macon, IL	$89K
Macopin, NJ	$610K
Macungie, PA	$442K
Macy, IN	
Madeira Beach, FL	$988K
Madeira, OH	$508K
Madera Acres, CA	$376K
Madera Ranchos, CA	$450K
Madera, CA	$376K
Madison Center, CT	$830K
Madison Heights, MI	$190K
Madison Heights, VA	$172K
Madison Park, NJ	
Madison Place, OH	$625K
Madison, AL	$440K
Madison, AR	
Madison, CA	
Madison, GA	$650K
Madison, IL	$46K
Madison, IN	$220K
Madison, MD	$535K
Madison, MS	$374K
Madison, NC	$178K
Madison, NE	$183K
Madison, NJ	$656K
Madison, NY	
Madison, OH	$180K
Madison, PA	
Madison, VA	$262K
Madison, WI	$393K
Madisonburg, PA	
Madisonville, KY	$170K
Madisonville, LA	$321K
Madrid, AL	
Madrid, IA	$187K
Madrid, NM	$313K
Maeser, UT	$371K
Maeystown, IL	
Magalia, CA	$297K
Magee, MS	$103K
Maggie Valley, NC	$375K
Magna, UT	$420K
Magnet Cove, AR	
Magnetic Springs, OH	
Magnolia Beach, TX	
Magnolia Springs, AL	
Magnolia, AR	$9K
Magnolia, DE	
Magnolia, IA	
Magnolia, IL	
Magnolia, KY	
Magnolia, MS	
Magnolia, NJ	$385K
Magnolia, OH	$151K
Magnolia, TX	$320K
Mahanoy City, PA	$60K
Maharishi Vedic City, IA	
Mahinahina, HI	$1,800K
Mahomet, IL	$305K
Mahopac, NY	$530K
Mahtomedi, MN	$455K
Maiden Rock, WI	
Maiden, NC	$350K
Maili, HI	$648K
Maine, NY	$41K
Maine, WI	
Maineville, OH	$343K
Mainville, PA	
Maitland, FL	$447K
Maitland, PA	
Maize, KS	$275K
Makaha Valley, HI	$1,051K
Makaha, HI	$305K
Makakilo, HI	$735K
Makanda, IL	$317K
Makawao, HI	$933K
Makena, HI	$13,857K
Malabar, FL	$525K
Malaga, CA	
Malaga, NJ	$252K
Malakoff, TX	$585K
Malcolm, NE	
Malden-on-Hudson, NY	$460K
Malden, IL	
Malden, MA	$623K
Malden, MO	$120K
Malden, WA	
Malibu, CA	$3,695K
Malin, OR	$173K
Mallard Bay, OK	
Malmo, NE	
Malone, NY	$120K
Malone, WA	
Malta Bend, MO	
Malta, ID	
Malta, IL	$247K
Malta, NY	$280K
Maltby, WA	$1,247K
Malvern, AL	$205K
Malvern, AR	$114K
Malvern, IA	
Malvern, OH	$483K
Malvern, PA	$643K
Malverne Park Oaks, NY	
Malverne, NY	$620K
Mamanasco Lake, CT	
Mamaroneck, NY	$364K
Mamers, NC	$305K
Mammoth, AZ	$85K
Mammoth, PA	$252K
Manahawkin, NJ	$403K
Manalapan, FL	
Manasota Key, FL	$860K
Manasquan, NJ	$899K
Manassas Park, VA	$446K
Manassas, VA	$475K
Manatee Road, FL	$72K
Manchaca, TX	$730K
Manchester Center, VT	$435K
Manchester, CA	
Manchester, CT	$270K
Manchester, GA	$134K
Manchester, IL	
Manchester, KY	$255K
Manchester, MA	$713K
Manchester, MD	$395K
Manchester, MI	$161K
Manchester, MN	
Manchester, MO	$320K
Manchester, NH	$373K
Manchester, NY	$50K
Manchester, PA	$192K
Manchester, TN	$283K
Manchester, VA	$327K
Manchester, VT	$278K
Manchester, WA	$415K
Mandeville, LA	$354K
Manele, HI	
Mango, FL	$318K
Mangonia Park, FL	$365K
Manhasset Hills, NY	$833K
Manhasset, NY	$1,540K
Manhattan Beach, CA	$3,850K
Manhattan Beach, MN	
Manhattan, IL	$363K
Manhattan, KS	$248K
Manhattan, MT	$605K
Manhattan, NY	$1,286K
Manheim, NY	$103K
Manheim, PA	$310K
Manila, AR	$224K
Manila, CA	
Manistee Lake, MI	
Manitou Beach-Devils Lake, MI	$693K
Manitou Springs, CO	
Manitou, KY	
Manitowoc, WI	$178K
Manley, NE	
Manlius, IL	
Manlius, NY	$421K
Manly, IA	$60K
Mannford, OK	$309K
Manning, IA	$197K
Manning, SC	$153K
Manns Harbor, NC	
Mannsville, NY	
Manor Creek, KY	
Manor, PA	$290K
Manor, TX	$353K
Manorhaven, NY	$1,430K
Manorville, NY	$535K
Manorville, PA	$44K
Mansfield Center, CT	$529K
Mansfield Center, MA	$480K
Mansfield, GA	$312K
Mansfield, IL	$208K
Mansfield, LA	$126K
Mansfield, MA	$540K
Mansfield, NY	$487K
Mansfield, OH	$131K
Mansfield, SD	
Mansfield, TX	$489K
Mansfield, WA	
Manson, WA	
Manteca, CA	$597K
Manteno, IL	$246K
Manteo, NC	$515K
Mantoloking, NJ	
Manton, CA	
Manton, MI	
Mantorville, MN	
Mantua, OH	$215K
Mantua, UT	
Mantua, VA	$1,120K
Manuel Garcia, TX	
Manvel, TX	$459K
Manville, NJ	$326K
Maple Bluff, WI	$848K
Maple Falls, WA	$385K
Maple Glen, PA	$630K
Maple Grove, MN	$380K
Maple Heights-Lake Desire, WA	$1,228K
Maple Heights, OH	$110K
Maple Hill, KS	
Maple Lake, MN	$390K
Maple Park, IL	$284K
Maple Plain, MN	$378K
Maple Rapids, MI	$90K
Maple Ridge, OH	
Maple Valley, WA	$740K
Maplesville, AL	$327K
Mapleton, IL	
Mapleton, OR	
Mapleton, UT	$826K
Mapleview, MN	$100K
Mapleville, MD	
Maplewood Park, OH	
Maplewood, MN	$338K
Maplewood, MO	$239K
Maplewood, WA	$715K
Maquon, IL	$45K
Mar-Mac, NC	$223K
Maramec, OK	
Marana, AZ	$414K
Marathon City, WI	$435K
Marathon, FL	$770K
Marathon, IA	
Marathon, NY	$100K
Marathon, OH	
Marble City, OK	$80K
Marble Cliff, OH	$218K
Marble Hill, MO	$180K
Marble, MN	$173K
Marblehead, MA	$1,034K
Marblehead, OH	$345K
Marblemount, WA	$285K
Marbletown, NY	$628K
Marbury, AL	
Marcelline, IL	
Marcellus, MI	$594K
Marcellus, NY	
Marco Island, FL	$1,100K
Marco Shores-Hammock Bay, FL	$750K
Marcola, OR	
Marcus Hook, PA	$155K
Marcus, WA	$125K
Marcy, NY	$225K
Marengo, IL	$256K
Marengo, OH	$375K
Margaret, AL	$250K
Margate City, NJ	$1,000K
Margate, FL	$299K
Maria Stein, OH	
Marianna, PA	
Mariaville Lake, NY	
Maribel, WI	
Maricopa, AZ	$335K
Maricopa, CA	$225K
Mariemont, OH	$515K
Marietta-Alderwood, WA	$711K
Marietta, GA	$425K
Marietta, IL	
Marietta, NC	
Marietta, OH	$147K
Marietta, OK	$130K
Marietta, PA	$290K
Marilla, NY	$235K
Marin City, CA	$1,160K
Marina del Rey, CA	$1,213K
Marina, CA	$1,150K
Marine City, MI	$237K
Marine on St. Croix, MN	
Marine View, WA	
Marine, IL	
Marinette, WI	$131K
Maringouin, LA	$350K
Marion Center, MA	$733K
Marion Center, PA	
Marion Heights, PA	$46K
Marion Oaks, FL	$269K
Marion, AR	$205K
