County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Jasper County,14798,Jasper,Texas,607,$40775,10%,37,N/A,N/A,N/A,39,63%,$690,49%,366,4746,24%,12%,50%,19%,79%,0%,31%,57%,8%,4%,N/A,93,61,32,61,0,7,54,5,30.763282905919716,-93.98385678930939,65%,79%,47%,62%,62%,74,59,73,73,39,16.66,14.5,31%,31%,37%,0
Inyo County,14746,Bishop,California,781,$62702,27%,47,N/A,N/A,N/A,49,72%,$1180,47%,911,4904,8%,3%,53%,38%,51%,1%,0%,68%,20%,6%,N/A,100,54,46,12,0,6,88,5,37.143524317863104,-118.29109570470521,76%,94%,49%,21%,14%,5,30,37,60,23,0.76,6.12,6%,4%,10%,0
Franklin County,14740,Russellville,Alabama,572,$40092,11%,36,N/A,N/A,N/A,43,64%,$570,49%,N/A,N/A,20%,4%,58%,18%,78%,1%,5%,61%,28%,14%,N/A,90,51,39,56,2,6,62,5,34.47249931643148,-87.82799188558344,58%,63%,49%,57%,56%,56,49,67,68,30,13.89,15.66,30%,30%,34%,0
Carroll County,14727,McKenzie,Tennessee,606,$37531,22%,40,N/A,N/A,N/A,46,63%,$634,52%,224,1243,22%,5%,51%,22%,74%,0%,12%,80%,2%,1%,N/A,89,47,41,57,3,6,69,4,36.047719762008555,-88.46491959992531,64%,77%,54%,58%,57%,53,50,68,70,28,12.88,15.1,30%,26%,33%,0
Deaf Smith County,14692,Hereford,Texas,2332,$46961,12%,30,$275000,4435,$62,54,60%,$768,43%,549,2104,13%,4%,65%,28%,69%,0%,1%,19%,78%,19%,N/A,92,51,41,18,10,N/A,74,5,34.82254,-102.4001349,72%,78%,67%,44%,44%,48,38,57,62,22,8.73,1.57,17%,25%,10%,3
Payette County,14686,Payette,Idaho,2132,$47762,12%,40,$337808,1327,$254,43,65%,$726,45%,201,1221,14%,5%,58%,17%,74%,0%,0%,72%,20%,7%,N/A,92,40,52,9,18,7,71,4,44.044916207435655,-116.9122480065096,63%,81%,38%,42%,23%,14,33,42,61,23,0.96,3.32,21%,10%,30%,14
Upson County,14665,Thomaston,Georgia,814,$31954,12%,37,$197019,1700,$116,53,53%,$657,63%,N/A,N/A,27%,5%,51%,31%,66%,0%,35%,58%,2%,3%,N/A,91,57,34,51,1,5,55,5,32.89913896638936,-84.32459833686326,63%,67%,56%,52%,54%,53,53,69,70,35,13.24,15.64,35%,38%,38%,0
Cheatham County,14616,Ashland City,Tennessee,371,$75296,27%,41,$439810,2027,$216,26,75%,$1116,44%,107,2708,8%,4%,64%,24%,70%,0%,2%,91%,3%,2%,Central Standard Time,89,47,41,53,3,6,63,4,36.245176423617956,-87.06276510793651,64%,77%,54%,57%,57%,51,47,66,67,27,12.55,14.22,35%,30%,40%,4
Benton County,14599,Center township (Benton Cnty),Indiana,745,$46901,15%,39,$132082,1494,$96,64,66%,$693,49%,N/A,N/A,15%,3%,62%,23%,69%,0%,0%,88%,7%,1%,Eastern Standard Time,83,32,50,42,21,N/A,83,3,40.57108735778479,-87.28961003473525,51%,64%,40%,60%,56%,40,41,62,62,17,14.08,7.48,32%,32%,32%,11
Meade County,14597,Sturgis,South Dakota,946,$59254,23%,39,$308576,1858,$169,36,77%,$847,45%,188,2074,6%,1%,68%,19%,72%,0%,1%,92%,3%,2%,Mountain Standard Time,85,36,49,19,104,N/A,86,5,44.31294981293417,-103.3833627249846,62%,70%,56%,52%,44%,39,31,51,59,13,7.42,1.43,22%,29%,16%,33
Pulaski County,14571,Somerset,Kentucky,795,$30091,14%,39,$138953,1431,$103,48,50%,$666,58%,247,1965,30%,9%,50%,15%,81%,0%,2%,90%,3%,3%,N/A,87,45,42,56,15,4,65,4,37.08677898819574,-84.61428635523986,56%,65%,44%,58%,62%,46,44,64,69,29,14.63,14.6,35%,34%,39%,10
Ripley County,14508,Batesville,Indiana,1065,$53398,21%,39,N/A,N/A,N/A,50,68%,$620,47%,N/A,N/A,16%,4%,65%,19%,75%,1%,0%,91%,3%,2%,N/A,86,38,47,49,20,8,76,3,39.20923474573338,-85.21446737459331,52%,64%,41%,59%,56%,41,42,62,64,21,13.82,10.97,40%,39%,44%,13
Greenbrier County,14474,Lewisburg,West Virginia,1155,$31968,24%,44,N/A,N/A,N/A,50,62%,$621,56%,132,1282,24%,4%,50%,26%,67%,1%,5%,87%,2%,2%,N/A,82,37,44,43,28,6,83,4,37.82393856553129,-80.48595280469807,59%,64%,54%,58%,59%,41,41,60,59,19,12.06,9.95,40%,43%,43%,12
Polk County,14469,Bolivar,Missouri,1236,$38526,22%,32,$214367,1604,$131,38,56%,$701,57%,N/A,N/A,19%,3%,54%,19%,75%,0%,1%,89%,4%,1%,Central Standard Time,89,44,45,48,11,8,68,4,37.61414924054184,-93.43163276428226,58%,69%,50%,58%,57%,54,44,64,67,22,13.89,7.19,30%,29%,26%,6
Greene County,14457,Waynesburg,Pennsylvania,2188,$48793,18%,39,$568000,2536,$224,70,65%,$639,52%,N/A,N/A,16%,3%,52%,28%,68%,0%,0%,95%,0%,0%,N/A,84,38,45,44,30,7,65,3,39.884510486781494,-80.0811750613682,42%,52%,29%,57%,54%,34,39,58,61,19,13.17,10.17,43%,40%,49%,13
Columbia County,14451,Magnolia,Arkansas,823,$33932,20%,30,N/A,N/A,N/A,50,59%,$689,59%,122,2578,28%,5%,51%,35%,61%,1%,43%,51%,2%,2%,N/A,93,55,38,56,1,7,49,5,33.273706301342465,-93.24596810057437,58%,69%,50%,58%,56%,55,54,70,70,30,11.95,14.47,25%,22%,29%,0
Lake County,14431,Polson,Montana,792,$44771,26%,42,N/A,N/A,N/A,40,60%,$724,50%,614,3479,19%,6%,58%,36%,57%,0%,0%,62%,4%,2%,N/A,84,32,52,22,125,5,89,3,47.64140473043449,-114.12328588458875,54%,73%,34%,53%,36%,21,31,45,53,21,4.92,5.58,37%,23%,47%,70
Austin County,14424,Sealy,Texas,885,$55872,17%,36,$363274,2011,$182,36,70%,$888,45%,279,932,16%,8%,65%,18%,78%,0%,9%,53%,34%,9%,Central Standard Time,96,62,34,46,0,7,70,5,29.808610001331118,-96.17607428326401,55%,65%,47%,59%,57%,60,58,71,74,40,13.4,9.34,27%,23%,33%,0
Orange County,14413,Lake of the Woods,Virginia,1580,$64418,29%,34,N/A,N/A,N/A,32,66%,$895,51%,315,1471,8%,6%,61%,34%,60%,1%,17%,58%,4%,4%,N/A,87,45,42,46,17,7,70,4,38.21660284495151,-78.13411937586993,62%,67%,56%,53%,55%,34,46,66,67,25,13.17,9.0,36%,40%,33%,6
Hughes County,14366,Pierre,South Dakota,1054,$67763,36%,38,N/A,N/A,N/A,46,69%,$734,50%,463,2732,14%,1%,65%,30%,63%,0%,0%,81%,3%,0%,N/A,89,29,59,20,48,N/A,84,3,44.379181047800365,-100.308461566727,63%,73%,58%,51%,46%,38,31,53,61,10,8.37,1.84,24%,30%,20%,24
Henry County,14334,Mount Pleasant,Iowa,1200,$51777,21%,38,N/A,N/A,N/A,58,73%,$645,52%,137,1771,13%,4%,60%,30%,61%,3%,3%,84%,6%,4%,N/A,85,31,53,40,35,N/A,76,3,40.98037899280732,-91.52661255473699,53%,63%,46%,59%,57%,46,39,62,63,12,14.05,5.2,26%,29%,24%,19
Falls Church County,14309,Falls Church,Virginia,6980,$146922,79%,39,$728000,1989,$366,50,60%,$2044,45%,66,1532,2%,4%,74%,75%,17%,9%,4%,71%,10%,17%,Eastern Standard Time,89,44,45,46,13,7,32,4,38.8847267,-77.17516380000002,55%,61%,52%,53%,53%,26,43,63,69,26,13.5,9.28,34%,33%,37%,7
Logan County,14275,Logan,West Virginia,811,$38675,11%,42,N/A,N/A,N/A,52,66%,$708,47%,N/A,N/A,23%,13%,49%,16%,79%,0%,1%,94%,0%,0%,N/A,88,44,43,52,16,5,69,4,37.81286595383538,-81.94926623803153,56%,62%,50%,57%,58%,43,42,61,66,26,15.93,11.83,41%,43%,46%,12
Buchanan County,14256,Independence,Iowa,1173,$62704,19%,39,N/A,N/A,N/A,53,81%,$705,46%,361,1314,7%,3%,68%,38%,53%,0%,0%,93%,2%,0%,N/A,83,25,57,40,38,8,83,3,42.49013329494248,-91.91785523129911,54%,65%,46%,62%,58%,41,37,60,60,7,15.39,4.5,29%,33%,24%,22
Henry County,14249,Napoleon,Ohio,1159,$49352,14%,39,N/A,N/A,N/A,59,67%,$729,53%,N/A,N/A,12%,4%,65%,26%,66%,0%,0%,86%,10%,1%,N/A,84,34,50,38,24,7,75,3,41.357401970341776,-84.08171010873045,60%,75%,47%,61%,55%,36,40,60,64,18,11.47,7.65,34%,30%,37%,19
Lincoln County,14204,Kemmerer,Wyoming,406,$68436,22%,38,N/A,N/A,N/A,38,77%,$863,38%,36,378,7%,2%,65%,12%,76%,0%,0%,88%,6%,3%,N/A,81,27,54,20,61,6,95,4,42.542625438207544,-110.84146233608843,63%,79%,44%,44%,24%,27,29,41,44,4,3.47,5.58,32%,17%,44%,32
Limestone County,14124,Mexia,Texas,954,$38477,12%,35,N/A,N/A,N/A,46,68%,$694,59%,116,1278,24%,6%,49%,23%,74%,0%,25%,44%,27%,11%,N/A,96,58,38,41,0,6,61,5,31.608187640979892,-96.52163497574341,60%,70%,55%,56%,50%,43,53,68,73,34,8.05,8.66,21%,16%,23%,0
Washington County,14097,Washington,Iowa,1266,$55817,19%,40,$117666,1206,$93,59,67%,$770,47%,656,1804,11%,3%,66%,36%,56%,0%,1%,87%,7%,5%,Central Standard Time,85,31,54,40,34,N/A,78,3,41.355750860963326,-91.69407246552457,53%,63%,46%,59%,57%,46,39,62,63,12,14.57,4.75,31%,35%,27%,17
Hill County,14066,Havre,Montana,1852,$50746,26%,32,N/A,N/A,N/A,54,66%,$670,52%,N/A,N/A,17%,7%,59%,36%,54%,0%,0%,68%,4%,1%,N/A,86,30,56,14,44,6,89,3,48.4995807324257,-109.73488434424144,67%,82%,51%,49%,33%,24,28,43,54,10,4.41,2.21,26%,25%,26%,27
Winona County,14057,Goodview,Minnesota,937,$61315,24%,40,$263262,1817,$141,38,80%,$739,41%,49,953,6%,3%,70%,43%,46%,1%,0%,90%,4%,2%,N/A,83,25,57,37,43,8,81,3,44.01012056171303,-91.73505886635128,52%,64%,45%,61%,58%,39,36,59,64,8,14.16,3.96,32%,35%,28%,21
Whitley County,14042,Corbin,Kentucky,1039,$37214,27%,34,$162664,1759,$91,45,56%,$574,58%,150,1498,25%,7%,48%,15%,82%,1%,1%,91%,2%,2%,N/A,86,45,41,54,6,5,55,4,36.84104625069078,-84.12727683530836,57%,66%,44%,57%,60%,46,45,64,65,25,15.18,14.04,37%,39%,40%,3
Amherst County,14028,Madison Heights,Virginia,584,$51862,19%,45,$188000,1229,$153,50,72%,$654,52%,137,642,11%,5%,60%,32%,63%,0%,22%,69%,2%,0%,Eastern Standard Time,87,45,42,47,13,5,65,4,37.47319421391503,-79.09561316214,59%,64%,54%,52%,56%,33,43,62,64,24,12.69,10.36,32%,34%,31%,4
Monroe County,14025,Sweetwater,Tennessee,658,$41178,15%,41,N/A,N/A,N/A,37,62%,$573,51%,486,4377,18%,8%,55%,18%,78%,0%,5%,88%,2%,1%,N/A,89,49,40,58,2,6,65,4,35.55296608751515,-84.38547497155794,57%,66%,44%,57%,58%,46,48,66,66,26,13.86,16.63,35%,37%,40%,1
Clark County,14019,Arkadelphia,Arkansas,1231,$32336,27%,27,$156980,1558,$98,39,51%,$591,65%,714,1215,25%,3%,55%,42%,51%,0%,30%,59%,7%,3%,N/A,92,53,39,56,1,7,44,4,34.09701944056638,-93.11301765552464,68%,81%,56%,57%,56%,55,50,68,70,29,12.19,13.92,20%,17%,23%,0
Peach County,13987,Fort Valley,Georgia,954,$35659,21%,32,$182418,1721,$105,37,55%,$680,69%,N/A,N/A,32%,13%,51%,47%,50%,1%,61%,30%,5%,4%,Eastern Standard Time,92,58,33,50,0,5,52,5,32.58734946973618,-83.83431629584614,63%,67%,56%,52%,54%,53,53,69,71,36,13.7,15.53,29%,35%,33%,0
Panola County,13969,Batesville,Mississippi,807,$38082,23%,31,N/A,N/A,N/A,41,55%,$731,63%,331,4534,23%,9%,46%,49%,49%,0%,55%,38%,2%,2%,N/A,91,51,40,58,0,8,59,4,34.369099630789606,-89.9487651387859,63%,74%,52%,56%,56%,53,50,68,73,32,12.62,16.24,32%,29%,38%,0
Morrison County,13939,Little Falls,Minnesota,898,$45637,17%,40,N/A,N/A,N/A,46,68%,$672,52%,75,2666,15%,5%,62%,20%,73%,0%,0%,94%,1%,1%,N/A,81,20,60,31,53,N/A,74,3,45.98485951540999,-94.3319882299017,50%,60%,45%,62%,60%,39,33,57,58,1,13.62,2.66,34%,40%,28%,21
Woodward County,13886,Woodward,Oklahoma,978,$49159,20%,35,N/A,N/A,N/A,46,65%,$772,52%,268,1961,15%,4%,64%,11%,83%,0%,0%,80%,14%,4%,N/A,94,48,45,25,10,N/A,73,5,36.42784492542129,-99.39251242392336,68%,77%,64%,50%,46%,48,39,59,69,25,9.49,3.07,20%,22%,17%,3
Reeves County,13867,Pecos,Texas,649,$55234,10%,37,$93597,1012,$89,55,83%,$838,58%,N/A,N/A,14%,10%,53%,52%,44%,1%,2%,21%,76%,19%,N/A,96,60,36,13,5,N/A,53,6,31.373130016362584,-103.53535375604673,73%,78%,67%,32%,30%,37,42,58,67,30,5.49,1.41,11%,15%,8%,0
McCurtain County,13853,Idabel,Oklahoma,482,$31818,12%,32,N/A,N/A,N/A,42,53%,$536,53%,679,5681,30%,5%,53%,16%,80%,1%,13%,52%,7%,5%,N/A,93,54,39,57,2,7,55,5,33.9610469611853,-94.82028686747996,61%,72%,53%,56%,55%,54,48,67,69,28,12.41,12.46,24%,21%,26%,0
Marshall County,13840,Henry,Illinois,897,$51181,18%,45,$136324,1701,$80,60,76%,$637,42%,N/A,N/A,13%,4%,55%,29%,63%,0%,0%,95%,2%,0%,Central Standard Time,85,33,52,40,31,8,81,3,41.05190018923411,-89.30346541944364,54%,65%,46%,61%,58%,47,40,62,64,16,12.23,6.66,31%,31%,28%,14
Carroll County,13829,Berryville,Arkansas,712,$40966,18%,43,N/A,N/A,N/A,37,66%,$605,48%,635,3431,15%,7%,55%,31%,63%,2%,0%,67%,22%,11%,N/A,88,44,43,49,7,7,67,4,36.39505997592016,-93.59905140566202,58%,69%,50%,58%,57%,54,44,64,68,25,12.34,8.29,29%,28%,25%,0
Linn County,13805,Lincoln township (Linn Cnty),Kansas,675,$44254,15%,41,$242210,1467,$170,41,64%,$730,43%,46,82,18%,5%,57%,16%,78%,0%,0%,92%,1%,0%,Central Standard Time,89,41,48,44,15,8,72,4,38.24278494091271,-94.78396899146685,61%,69%,54%,59%,58%,51,42,64,67,19,14.58,5.16,27%,30%,20%,6
Henry County,13798,Clinton,Missouri,988,$39925,14%,40,N/A,N/A,N/A,49,62%,$661,53%,N/A,N/A,24%,6%,55%,23%,71%,0%,1%,90%,3%,2%,N/A,89,41,47,45,18,8,65,4,38.40405775871865,-93.7273683806856,62%,70%,55%,60%,59%,51,42,64,68,19,14.27,5.98,27%,28%,20%,7
Newberry County,13786,Newberry,South Carolina,1066,$39559,18%,42,$190000,1759,$108,57,59%,$764,54%,599,3605,20%,6%,57%,37%,59%,0%,45%,48%,4%,5%,N/A,91,54,36,46,1,6,57,4,34.29843515827651,-81.59047989900623,64%,67%,57%,50%,52%,49,50,67,69,31,12.72,12.59,30%,32%,35%,0
Caroline County,13778,Denton,Maryland,1419,$47063,12%,33,N/A,N/A,N/A,43,57%,$988,57%,N/A,N/A,18%,6%,62%,28%,66%,0%,24%,61%,10%,7%,N/A,88,45,43,49,15,7,75,3,38.87052935023953,-75.82408790179997,55%,61%,52%,53%,53%,26,43,63,70,29,14.57,10.54,34%,33%,36%,6
Barbour County,13772,Eufaula,Alabama,191,$33848,16%,36,$100000,1389,$72,44,53%,$579,55%,N/A,N/A,33%,6%,52%,46%,52%,0%,45%,44%,6%,4%,N/A,93,61,32,53,0,5,50,3,31.88694274468487,-85.20598476345482,58%,62%,50%,53%,54%,54,53,69,69,37,14.03,16.18,30%,38%,35%,0
Lamar County,13736,West Hattiesburg,Mississippi,1400,$43014,24%,35,N/A,N/A,N/A,33,53%,$846,53%,N/A,N/A,28%,17%,58%,21%,76%,2%,37%,53%,4%,3%,Central Standard Time,91,59,32,63,1,6,52,5,31.268477491482233,-89.41763036638031,58%,64%,50%,56%,57%,63,54,69,71,37,17.73,17.88,31%,39%,35%,0
Otero County,13688,La Junta,Colorado,2139,$42675,19%,38,N/A,N/A,N/A,59,63%,$675,54%,393,4831,24%,6%,50%,34%,58%,1%,0%,47%,46%,4%,N/A,93,46,46,13,29,8,79,5,38.01855647708211,-103.65053249594536,78%,82%,74%,36%,32%,35,31,49,61,15,5.74,1.36,14%,20%,11%,10
Clarion County,13652,Clarion borough,Pennsylvania,2070,$42155,20%,46,N/A,N/A,N/A,59,54%,$633,56%,N/A,N/A,16%,5%,51%,24%,71%,0%,0%,95%,1%,0%,N/A,81,33,48,49,67,7,72,3,41.169807551113394,-79.39106487645033,42%,52%,29%,58%,55%,34,39,58,57,14,14.78,10.69,47%,45%,51%,35
Independence County,13649,Batesville,Arkansas,845,$49927,22%,36,$185000,2284,$81,38,64%,$614,53%,266,2406,16%,3%,54%,21%,73%,0%,4%,80%,12%,5%,N/A,90,47,42,55,3,7,58,4,35.759309525174004,-91.60098411261632,68%,81%,56%,57%,56%,55,50,68,69,27,12.17,13.0,29%,27%,27%,0
Mono County,13598,Mammoth Lakes,California,245,$71098,33%,39,$460000,1723,$267,39,65%,$1248,56%,508,1596,11%,2%,74%,52%,40%,4%,0%,65%,26%,16%,N/A,82,43,38,21,3,6,96,5,37.72265620803059,-118.95217215202237,76%,94%,50%,21%,14%,6,29,37,52,18,1.56,10.44,13%,8%,20%,0
Wise County,13598,Big Stone Gap,Virginia,896,$37778,18%,41,N/A,N/A,N/A,46,60%,$596,54%,126,1988,27%,9%,41%,17%,79%,0%,10%,85%,1%,1%,N/A,82,42,39,55,24,4,77,4,36.926495749999994,-82.64526625339757,58%,62%,50%,58%,62%,40,45,63,62,24,15.79,14.72,43%,46%,47%,13
Plumas County,13567,East Quincy,California,222,$64688,23%,50,N/A,N/A,N/A,43,70%,$877,46%,N/A,N/A,13%,5%,54%,35%,55%,1%,1%,81%,10%,4%,N/A,88,42,45,33,57,6,84,5,40.00290882565048,-120.88134992744897,81%,92%,65%,32%,19%,15,29,38,47,22,1.09,16.02,23%,5%,37%,15
Jefferson County,13526,Jefferson City,Tennessee,924,$48105,20%,36,$284286,1713,$165,37,60%,$674,54%,208,2196,16%,5%,54%,18%,77%,0%,4%,87%,6%,4%,Eastern Standard Time,86,46,39,48,8,6,60,4,36.09323536220612,-83.4702242123466,57%,66%,44%,57%,58%,46,48,66,67,28,12.69,13.31,37%,37%,43%,6
Clay County,13519,Vermillion,South Dakota,2176,$38342,56%,48,$215000,1361,$158,45,46%,$625,62%,193,1929,16%,2%,58%,51%,41%,3%,2%,94%,3%,3%,N/A,85,30,55,27,33,N/A,80,3,42.802506174325025,-96.95444991671721,59%,70%,54%,60%,58%,42,36,60,63,10,10.87,2.36,22%,27%,16%,17
Marshall County,13492,Moundsville,West Virginia,2552,$37430,13%,46,N/A,N/A,N/A,73,74%,$579,58%,305,1225,21%,5%,51%,21%,72%,0%,0%,95%,1%,1%,Eastern Standard Time,85,39,46,46,12,7,74,3,39.94049578170027,-80.7368710322858,42%,52%,29%,57%,54%,34,39,58,62,20,13.13,11.63,40%,38%,45%,11
Beauregard County,13470,DeRidder,Louisiana,986,$46415,19%,34,$234476,2112,$111,42,65%,$734,55%,N/A,N/A,18%,9%,60%,15%,81%,1%,31%,58%,5%,3%,N/A,93,60,33,62,0,7,55,5,30.816099152249446,-93.31885606809946,67%,81%,48%,62%,62%,75,59,73,71,37,18.62,15.58,34%,37%,39%,0
Aransas County,13464,Rockport,Texas,635,$55727,32%,52,$490000,1678,$292,31,77%,$1040,44%,N/A,N/A,21%,4%,50%,23%,73%,1%,0%,70%,25%,7%,Central Standard Time,93,66,27,31,0,8,88,6,28.055757390233218,-97.02926279968064,59%,75%,46%,61%,58%,25,62,73,80,48,9.24,5.1,16%,17%,16%,0
Grenada County,13447,Grenada,Mississippi,388,$32439,19%,37,N/A,N/A,N/A,42,55%,$674,60%,N/A,N/A,30%,5%,57%,42%,56%,0%,54%,43%,0%,0%,N/A,90,53,37,60,0,6,53,4,33.77597861539377,-89.81352320844054,63%,74%,52%,57%,56%,53,50,68,67,29,13.62,17.38,29%,28%,35%,0
Poweshiek County,13425,Grinnell,Iowa,1336,$50191,31%,38,N/A,N/A,N/A,54,67%,$728,57%,417,1789,12%,5%,65%,43%,50%,3%,1%,89%,3%,3%,N/A,84,29,54,41,31,N/A,76,3,41.71544042599628,-92.64495350506517,58%,71%,49%,60%,58%,47,38,60,62,11,15.1,4.91,30%,34%,25%,14
Milam County,13421,Rockdale,Texas,1154,$42673,11%,37,N/A,N/A,N/A,50,63%,$677,53%,180,1157,22%,6%,58%,23%,73%,0%,14%,47%,36%,7%,N/A,97,61,36,38,0,6,67,6,30.74496845726101,-97.01225316981595,58%,69%,52%,55%,50%,41,54,68,73,36,7.41,8.04,21%,16%,26%,0
Phillips County,13401,Helena-West Helena,Arkansas,845,$25201,13%,37,N/A,N/A,N/A,47,38%,$567,64%,1835,5673,37%,18%,51%,62%,35%,0%,72%,23%,2%,0%,N/A,90,49,40,52,0,8,65,4,34.519866505022016,-90.67580307898663,63%,74%,52%,56%,56%,53,50,68,72,32,10.35,13.98,21%,17%,24%,0
Fayette County,13389,Jefferson township (Fayette Cnty),Ohio,710,$48738,7%,36,$178787,1572,$112,46,67%,$757,43%,N/A,N/A,17%,4%,61%,24%,71%,0%,1%,92%,4%,1%,N/A,85,37,48,44,25,7,78,5,39.57442769564568,-83.46720084326685,48%,59%,37%,58%,55%,38,41,61,64,20,12.3,9.58,39%,38%,44%,22
Decatur County,13365,Bainbridge,Georgia,626,$35452,14%,36,N/A,N/A,N/A,37,45%,$669,59%,675,3912,26%,9%,51%,40%,58%,0%,56%,34%,4%,1%,N/A,91,60,31,55,0,5,38,5,30.89642410018706,-84.56742865361016,58%,62%,50%,54%,59%,82,57,71,72,38,17.75,15.16,28%,39%,31%,0
Clay County,13359,Spencer,Iowa,975,$47251,22%,41,$171550,1575,$108,55,69%,$689,47%,63,1662,11%,5%,64%,26%,68%,0%,0%,91%,4%,2%,N/A,84,26,58,32,48,N/A,85,3,43.13275699940115,-95.16866202615465,59%,70%,54%,60%,58%,42,36,60,62,8,12.49,3.1,27%,29%,20%,19
Gloucester County,13342,Gloucester Point,Virginia,953,$58737,27%,44,$346431,1848,$189,37,78%,$967,44%,N/A,N/A,8%,3%,55%,27%,66%,0%,9%,86%,2%,1%,Eastern Standard Time,88,48,39,50,10,7,73,4,37.29981163420027,-76.50334609333683,61%,65%,57%,57%,59%,34,48,66,70,30,14.98,9.92,34%,36%,33%,5
Gillespie County,13339,Fredericksburg,Texas,1053,$54782,31%,45,$473217,1683,$280,36,66%,$996,45%,112,1133,10%,5%,59%,17%,79%,0%,0%,73%,24%,9%,N/A,94,60,34,28,0,8,76,6,30.267791952627633,-98.90389697963865,57%,69%,51%,55%,52%,36,55,68,70,33,6.11,4.22,19%,15%,20%,0
Jackson County,13310,Cullowhee,North Carolina,1152,$38097,47%,30,$400539,2726,$151,31,37%,$681,77%,328,5433,32%,7%,55%,41%,52%,0%,5%,69%,5%,4%,N/A,85,47,37,57,8,6,81,4,35.34065027380917,-83.20542514782869,59%,59%,57%,55%,59%,44,46,64,62,25,14.86,16.02,38%,45%,39%,2
Eastland County,13308,Eastland,Texas,712,$38162,18%,35,N/A,N/A,N/A,62,67%,$653,50%,261,1640,18%,4%,49%,11%,86%,0%,2%,74%,19%,4%,N/A,96,57,39,30,4,6,72,5,32.36741087438383,-98.82619644919596,69%,77%,65%,49%,47%,43,47,62,71,30,7.96,4.58,16%,16%,14%,0
Fayette County,13212,Oelwein,Iowa,964,$41749,18%,41,N/A,N/A,N/A,65,72%,$618,51%,305,1546,15%,2%,57%,37%,56%,0%,2%,91%,3%,1%,N/A,83,26,56,39,41,8,84,4,42.80390072673327,-91.85178576553133,53%,63%,46%,62%,58%,41,37,60,61,7,15.36,4.26,29%,33%,23%,19
Jefferson County,13198,Fairfield,Iowa,1393,$46798,43%,38,$165663,2245,$73,50,63%,$743,60%,N/A,N/A,14%,9%,59%,45%,46%,15%,3%,74%,4%,16%,N/A,85,31,53,40,22,N/A,74,3,41.012222871662374,-91.97102723263374,53%,63%,46%,59%,57%,46,39,61,63,13,13.81,5.28,30%,32%,27%,11
Clark County,13197,Neillsville,Wisconsin,791,$43801,13%,41,$158370,1722,$94,54,68%,$644,49%,24,665,11%,3%,62%,30%,63%,0%,0%,83%,12%,5%,N/A,80,21,58,35,58,8,87,3,44.819465077684335,-90.518286565136,53%,64%,46%,60%,57%,38,37,60,57,4,13.21,4.21,33%,37%,30%,28
Botetourt County,13197,Cloverdale,Virginia,676,$70897,30%,48,$344885,2298,$153,38,85%,$881,39%,N/A,N/A,6%,4%,56%,24%,71%,1%,3%,91%,2%,3%,Eastern Standard Time,87,45,42,47,12,6,69,4,37.39883797863909,-79.85763135287564,59%,64%,54%,51%,54%,33,43,62,64,25,13.93,9.35,35%,40%,32%,4
Carbon County,13144,Rawlins,Wyoming,865,$68067,18%,37,N/A,N/A,N/A,50,72%,$760,44%,245,1174,12%,4%,61%,20%,69%,0%,1%,74%,20%,5%,N/A,83,30,53,16,58,6,87,4,41.69219113725654,-107.10391088733262,66%,72%,62%,43%,28%,34,26,41,53,11,3.15,3.5,25%,19%,27%,21
Sanilac County,13136,Sandusky,Michigan,947,$42083,14%,45,N/A,N/A,N/A,54,66%,$603,51%,318,784,18%,6%,54%,25%,69%,0%,0%,90%,6%,1%,N/A,79,30,49,35,39,8,88,3,43.35337811671741,-82.78196951461632,52%,67%,39%,61%,55%,32,38,58,59,15,10.66,6.45,38%,33%,42%,20
Jerome County,13097,Jerome,Idaho,2091,$46278,10%,30,$310000,1455,$213,44,61%,$751,51%,352,1317,22%,4%,68%,19%,68%,1%,0%,59%,37%,16%,Mountain Standard Time,92,36,56,10,26,7,75,4,42.70624323405361,-114.48114657505535,62%,79%,43%,45%,25%,23,29,41,59,19,0.92,3.47,17%,8%,24%,16
Dickinson County,13095,Spirit Lake,Iowa,981,$56320,30%,45,$349092,1723,$200,45,78%,$842,45%,588,1412,8%,1%,66%,29%,65%,1%,0%,94%,2%,1%,N/A,83,24,59,30,43,N/A,87,3,43.390087129560904,-95.13845738618558,56%,63%,56%,60%,56%,44,35,58,63,7,11.76,2.65,22%,24%,19%,15
